id,title,release_date,overview,tagline,runtime,genres,origin_country,rating,revenue,budget,popularity,vote_average,vote_count
1166137,The Athertons: Mountain Biking's Fastest Family,2021-03-09,"The Atherton family name has been a staple in British mountain biking for 2 decades, with huge success in international racing and multiple world championship titles between them, mountain biking's most successful family are have had their ups and downs. With insight from MTB journalists and family friends, we'll be reminiscing on their past achievements, and looking at what the future has to hold.  With a sawmill, a bike park and a bike brand recently added to their name, their life in mountain biking is beginning a new chapter. We went to visit them in the Dyfi valley to  take a look at how the Atherton drive has turned passion projects into fully fledged businesses.",,42,Documentary,,0.0,0,0,0.0741,0.0,0
1199042,Waiting for the time to pass,2021-03-09,"A dog waits in a car. The windows fog up and we hear the creature panting and whining softly – his impatience and restlessness are contagious. The dog is entirely at the mercy of people in escaping from this predicament. Janis Rafa connects this image with early Soviet space flights in which dogs were sent into space as part of experiments. Waiting for the Time to Pass is a new work, made during the corona pandemic, and the association with the limited freedom of movement and uncertainty about the lockdown is clear. In her earlier work, Rafa often commented subtly on the ecological disaster caused by anthropocentrism.",,4,,,0.0,0,0,0.0214,0.0,0
1103138,Une étrange invitation,2021-03-09,,,0,,,0.0,0,0,0.0143,0.0,0
956983,This Is Forever,2021-03-09,"La Bonita Chola, a resourceful Indigenous Bolivian artist, activist and single mother living undocumented in London, is kept busy busy busy, raising a teenager, navigating COVID and immigration restrictions and practising her traditions far from home. She beams with pride and gratitude for her community and the support she receives while embodying her culture and becoming the best ancestor she can be.",,15,Documentary,,0.0,0,0,0.0143,0.0,0
951423,The 4.5 'Flim On Film' Podcast,2021-03-09,Where 5 friends review the films they have watched as a collective in the past week.,Hello welcome to a BRAND NEW PODCAST (Now cancelled) : 'Flim on Film'.,51,Comedy,,0.0,1,20,0.0,0.0,0
1237093,ANONYMAT,2021-03-09,A strange stranger walks down the street.,,2,,,0.0,0,0,0.0741,0.0,0
1071904,Staying Dead,2021-03-09,"An immortal murderer attempts to find purpose in her dream-like, quiet life.",,6,"Horror, Drama",,0.0,0,0,0.0,0.0,0
1358385,Foundations,2021-03-09,"Foundations is a dramatic movie that illustrates walking through a young man's life in three different scenarios:  the first one is atheistic, the second one liberal compromised Christianity, and the third one is a biblical worldview.",What is your life built upon?,23,Drama,"CA, US",10.0,0,0,0.1159,10.0,1
1304280,42º 47´38.9´´N 8º 30´15.8´´O (Coordenadas),2021-03-09,A creepy guy with a beard camps out on an esplanade. Meanwhile he waits and waits.,,5,"Comedy, Science Fiction",,0.0,0,0,0.0379,0.0,0
1075287,Les Grandes Heures de l'automobile : Renault,2021-03-09,,,0,"Documentary, TV Movie","FR, , FR",8.0,0,0,0.0,8.0,1
